Date,Min_Price,Max_Price,Average_Price
2018-06-05,580.0,600.0,590.0
2018-06-06,580.0,600.0,590.0
2018-06-07,580.0,600.0,590.0
2018-06-08,580.0,600.0,590.0
2018-06-11,580.0,600.0,590.0
2018-06-11,580.0,600.0,590.0
2018-06-12,580.0,600.0,590.0
2018-06-13,580.0,600.0,590.0
2018-06-14,580.0,600.0,590.0
2018-06-15,580.0,600.0,590.0
2018-06-18,580.0,600.0,590.0
2018-06-18,580.0,600.0,590.0
2018-06-19,580.0,600.0,590.0
2018-06-20,580.0,600.0,590.0
2018-06-21,580.0,600.0,590.0
2018-06-22,580.0,600.0,590.0
2018-06-25,580.0,600.0,590.0
2018-06-25,580.0,600.0,590.0
2018-06-26,580.0,600.0,590.0
2018-06-27,580.0,600.0,590.0
2018-06-28,580.0,600.0,590.0
2018-06-29,580.0,600.0,590.0
2018-07-02,580.0,600.0,590.0
