Date,Min_Price,Max_Price,Average_Price
2018-11-07,1300.0,1400.0,1350.0
2018-11-08,1300.0,1400.0,1350.0
2018-11-09,1300.0,1400.0,1350.0
2018-11-12,1300.0,1400.0,1350.0
2018-11-13,1300.0,1400.0,1350.0
2018-11-14,1300.0,1400.0,1350.0
2018-11-15,1300.0,1400.0,1350.0
2018-11-16,1300.0,1400.0,1350.0
2018-11-19,1300.0,1400.0,1350.0
2018-11-20,1300.0,1400.0,1350.0
2018-11-21,1300.0,1400.0,1350.0
2018-11-22,1300.0,1400.0,1350.0
2018-11-23,1300.0,1400.0,1350.0
2018-11-26,1300.0,1400.0,1350.0
2018-11-27,1300.0,1400.0,1350.0
2018-11-28,1300.0,1400.0,1350.0
2018-11-29,1300.0,1400.0,1350.0
2018-11-30,1300.0,1400.0,1350.0
2018-12-03,1300.0,1400.0,1350.0
