Date,Min_Price,Max_Price,Average_Price
2018-11-07,1200.0,1300.0,1250.0
2018-11-08,1200.0,1300.0,1250.0
2018-11-09,1200.0,1300.0,1250.0
2018-11-12,1200.0,1300.0,1250.0
2018-11-13,1200.0,1300.0,1250.0
2018-11-14,1200.0,1300.0,1250.0
2018-11-15,1200.0,1300.0,1250.0
2018-11-16,1200.0,1300.0,1250.0
2018-11-19,1200.0,1300.0,1250.0
2018-11-20,1200.0,1300.0,1250.0
2018-11-21,1200.0,1300.0,1250.0
2018-11-22,1200.0,1300.0,1250.0
2018-11-23,1200.0,1300.0,1250.0
2018-11-26,1200.0,1300.0,1250.0
2018-11-27,1200.0,1300.0,1250.0
2018-11-28,1200.0,1300.0,1250.0
2018-11-29,1200.0,1300.0,1250.0
2018-11-30,1200.0,1300.0,1250.0
2018-12-03,1200.0,1300.0,1250.0
