Date,Min_Price,Max_Price,Average_Price
2018-06-01,485000.0,490000.0,487500.0
2018-06-04,485000.0,490000.0,487500.0
2018-06-05,485000.0,490000.0,487500.0
2018-06-06,485000.0,490000.0,487500.0
2018-06-07,485000.0,490000.0,487500.0
2018-06-08,485000.0,490000.0,487500.0
2018-06-11,485000.0,490000.0,487500.0
2018-06-12,485000.0,490000.0,487500.0
2018-06-13,485000.0,490000.0,487500.0
2018-06-14,470000.0,470000.0,470000.0
2018-06-15,470000.0,470000.0,470000.0
2018-06-18,470000.0,470000.0,470000.0
2018-06-19,470000.0,470000.0,470000.0
2018-06-20,470000.0,470000.0,470000.0
2018-06-21,450000.0,460000.0,455000.0
2018-06-22,450000.0,460000.0,455000.0
2018-06-25,450000.0,460000.0,455000.0
2018-06-26,450000.0,460000.0,455000.0
2018-06-27,450000.0,460000.0,455000.0
2018-06-28,450000.0,460000.0,455000.0
2018-06-29,430000.0,440000.0,435000.0
2018-07-02,430000.0,440000.0,435000.0
2018-07-03,430000.0,440000.0,435000.0
2018-07-04,430000.0,440000.0,435000.0
2018-07-05,430000.0,440000.0,435000.0
